super_opeid,name,tier,tier_name,state,female,par_mean,k_mean
2816,Siena College,6,Selective private,NY,0.53573263,149412.5265,75221.96861
2814,Skidmore College,4,Highly selective private,NY,0.58233172,396263.5642,67046.8505
2817,St. Bonaventure University,6,Selective private,NY,0.50583243,140831.3854,58761.86719
2829,St. Lawrence University,4,Highly selective private,NY,0.53267044,184452.8576,64926.40728
2835,State University Of New York At Albany,5,Selective public,NY,0.50775719,114246.3985,66145.13687
2837,State University Of New York At Buffalo,5,Selective public,NY,0.46327883,108683.0446,61568.17862
2858,State University Of New York At Farmingdale,5,Selective public,NY,0.3914969,99907.11221,48273.66423
2846,State University Of New York At New Paltz,5,Selective public,NY,0.64093429,103260.9599,49604.7306
2838,State University Of New York At Stony Brook,3,Highly selective public,NY,0.49581456,91836.97617,65407.7277
2849,State University Of New York College At Plattsburgh,5,Selective public,NY,0.59097862,99921.84864,47357.68236
2850,State University Of New York College At Potsdam,5,Selective public,NY,0.61796534,93040.30276,40186.4262
11678,State University Of New York Institute Of Technology At Utica,5,Selective public,NY,0.45774648,82847.1752,52789.71029
2878,Suffolk County Community College,9,Two-year (public and private not-for-profit),NY,0.5056594,92821.42098,39668.30664
2879,Sullivan County Community College - SUNY Office Of Community Coll,9,Two-year (public and private not-for-profit),NY,0.49736565,57085.83664,29504.23457
2882,Syracuse University,4,Highly selective private,NY,0.55216485,231041.5666,73173.13991
11031,Technical Career Institutes,11,Two-year for-profit,NY,0.26156583,38723.66843,36025.3434
6788,Tompkins Cortland Community College,9,Two-year (public and private not-for-profit),NY,0.52670038,70535.23827,29687.31193
2812,Trocaire College,8,Nonselective four-year private not-for-profit,NY,0.90303028,66215.9401,38036.40234
2880,Ulster County Community College,9,Two-year (public and private not-for-profit),NY,0.50482094,79104.46184,32853.25658
2889,"Union College of Schenectady, NY",4,Highly selective private,NY,0.49793389,290078.2197,83839.20732
11189,United Talmudical Seminary,8,Nonselective four-year private not-for-profit,NY,0.013761468,52691.84635,25725.34766
2894,University Of Rochester,2,Other elite schools (public and private),NY,0.45448416,199434.7158,78104.43809
2883,Utica College,6,Selective private,NY,0.58357489,80905.81587,53270.72144
2895,Vassar College,2,Other elite schools (public and private),NY,0.60714287,285792.7961,61132.69009
2665,Vaughn College Of Aeronautics And Technology,8,Nonselective four-year private not-for-profit,NY,0.099518456,42817.99932,56313.27652
2899,Wagner College,6,Selective private,NY,0.58172232,145977.5981,65155.16192
2901,Wells College,6,Selective private,NY,0.95625001,101919.362,41711.38672
7405,Wood Tobe - Coburn School,11,Two-year for-profit,NY,0.82558137,42822.66667,29297.94987
11859,Word Of Life Bible Institute,9,Two-year (public and private not-for-profit),NY,0.50872481,79461.01014,26863.55847
2903,Yeshiva University,6,Selective private,NY,0.46747753,325796.8373,69211.41502
